AAA	none	8086,NOLONG	AAA 	ASCII Adjust After Addition	AAA.html
FCOMIP	fpu0,fpureg	P6,FPU	FCOMIP FPU0, fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMIP	none	P6,FPU,ND	FCOMIP 	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMP	mem32	8086,FPU	FCOMP mem32	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	mem64	8086,FPU	FCOMP mem64	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	fpureg	8086,FPU	FCOMP fpureg	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	fpu0,fpureg	8086,FPU	FCOMP FPU0, fpureg	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	none	8086,FPU,ND	FCOMP 	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMPP	none	8086,FPU	FCOMPP 	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOS	none	386,FPU	FCOS 	Cosine	FCOS.html
FDECSTP	none	8086,FPU	FDECSTP 	Decrement Stack-Top Pointer	FDECSTP.html
FDISI	none	8086,FPU	FDISI 	TODO: 8086,FPU	
FDIV	mem32	8086,FPU	FDIV mem32	Divide	FDIV:FDIVP:FIDIV.html
FDIV	mem64	8086,FPU	FDIV mem64	Divide	FDIV:FDIVP:FIDIV.html
FDIV	fpureg|to	8086,FPU	FDIV fpureg|to	Divide	FDIV:FDIVP:FIDIV.html
FDIV	fpureg	8086,FPU	FDIV fpureg	Divide	FDIV:FDIVP:FIDIV.html
FDIV	fpureg,fpu0	8086,FPU	FDIV fpureg, FPU0	Divide	FDIV:FDIVP:FIDIV.html
FDIV	fpu0,fpureg	8086,FPU	FDIV FPU0, fpureg	Divide	FDIV:FDIVP:FIDIV.html
FDIV	none	8086,FPU,ND	FDIV 	Divide	FDIV:FDIVP:FIDIV.html
FDIVP	fpureg	8086,FPU	FDIVP fpureg	Divide	FDIV:FDIVP:FIDIV.html
FDIVP	fpureg,fpu0	8086,FPU	FDIVP fpureg, FPU0	Divide	FDIV:FDIVP:FIDIV.html
FDIVP	none	8086,FPU,ND	FDIVP 	Divide	FDIV:FDIVP:FIDIV.html
FDIVR	mem32	8086,FPU	FDIVR mem32	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVR	mem64	8086,FPU	FDIVR mem64	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVR	fpureg|to	8086,FPU	FDIVR fpureg|to	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVR	fpureg,fpu0	8086,FPU	FDIVR fpureg, FPU0	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVR	fpureg	8086,FPU	FDIVR fpureg	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVR	fpu0,fpureg	8086,FPU	FDIVR FPU0, fpureg	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVR	none	8086,FPU,ND	FDIVR 	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVRP	fpureg	8086,FPU	FDIVRP fpureg	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVRP	fpureg,fpu0	8086,FPU	FDIVRP fpureg, FPU0	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FDIVRP	none	8086,FPU,ND	FDIVRP 	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FEMMS	none	PENT,3DNOW	FEMMS 	TODO: PENT,3DNOW	
FENI	none	8086,FPU	FENI 	TODO: 8086,FPU	
FFREE	fpureg	8086,FPU	FFREE fpureg	Free Floating-Point Register	FFREE.html
FFREE	none	8086,FPU	FFREE 	Free Floating-Point Register	FFREE.html
FFREEP	fpureg	286,FPU,UNDOC	FFREEP fpureg	TODO: 286,FPU,UNDOC	
FFREEP	none	286,FPU,UNDOC	FFREEP 	TODO: 286,FPU,UNDOC	
FIADD	mem32	8086,FPU	FIADD mem32	Add	FADD:FADDP:FIADD.html
FIADD	mem16	8086,FPU	FIADD mem16	Add	FADD:FADDP:FIADD.html
FICOM	mem32	8086,FPU	FICOM mem32	Compare Integer	FICOM:FICOMP.html
FICOM	mem16	8086,FPU	FICOM mem16	Compare Integer	FICOM:FICOMP.html
FICOMP	mem32	8086,FPU	FICOMP mem32	Compare Integer	FICOM:FICOMP.html
FICOMP	mem16	8086,FPU	FICOMP mem16	Compare Integer	FICOM:FICOMP.html
FIDIV	mem32	8086,FPU	FIDIV mem32	Divide	FDIV:FDIVP:FIDIV.html
FIDIV	mem16	8086,FPU	FIDIV mem16	Divide	FDIV:FDIVP:FIDIV.html
FIDIVR	mem32	8086,FPU	FIDIVR mem32	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FIDIVR	mem16	8086,FPU	FIDIVR mem16	Reverse Divide	FDIVR:FDIVRP:FIDIVR.html
FILD	mem32	8086,FPU	FILD mem32	Load Integer	FILD.html
FILD	mem16	8086,FPU	FILD mem16	Load Integer	FILD.html
FILD	mem64	8086,FPU	FILD mem64	Load Integer	FILD.html
FIMUL	mem32	8086,FPU	FIMUL mem32	Multiply	FMUL:FMULP:FIMUL.html
FIMUL	mem16	8086,FPU	FIMUL mem16	Multiply	FMUL:FMULP:FIMUL.html
FINCSTP	none	8086,FPU	FINCSTP 	Increment Stack-Top Pointer	FINCSTP.html
FINIT	none	8086,FPU	FINIT 	Initialize Floating-Point Unit	FINIT:FNINIT.html
FIST	mem32	8086,FPU	FIST mem32	Store Integer	FIST:FISTP.html
FIST	mem16	8086,FPU	FIST mem16	Store Integer	FIST:FISTP.html
FISTP	mem32	8086,FPU	FISTP mem32	Store Integer	FIST:FISTP.html
FISTP	mem16	8086,FPU	FISTP mem16	Store Integer	FIST:FISTP.html
FISTP	mem64	8086,FPU	FISTP mem64	Store Integer	FIST:FISTP.html
FISTTP	mem16	PRESCOTT,FPU	FISTTP mem16	Store Integer with Truncation	FISTTP.html
FISTTP	mem32	PRESCOTT,FPU	FISTTP mem32	Store Integer with Truncation	FISTTP.html
FISTTP	mem64	PRESCOTT,FPU	FISTTP mem64	Store Integer with Truncation	FISTTP.html
FISUB	mem32	8086,FPU	FISUB mem32	Subtract	FSUB:FSUBP:FISUB.html
FISUB	mem16	8086,FPU	FISUB mem16	Subtract	FSUB:FSUBP:FISUB.html
FISUBR	mem32	8086,FPU	FISUBR mem32	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FISUBR	mem16	8086,FPU	FISUBR mem16	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FLD	mem32	8086,FPU	FLD mem32	Load Floating Point Value	FLD.html
FLD	mem64	8086,FPU	FLD mem64	Load Floating Point Value	FLD.html
FLD	mem80	8086,FPU	FLD mem80	Load Floating Point Value	FLD.html
FLD	fpureg	8086,FPU	FLD fpureg	Load Floating Point Value	FLD.html
FLD	none	8086,FPU,ND	FLD 	Load Floating Point Value	FLD.html
FLD1	none	8086,FPU	FLD1 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FLDCW	mem	8086,FPU,SW	FLDCW mem	Load x87 FPU Control Word	FLDCW.html
FLDENV	mem	8086,FPU	FLDENV mem	Load x87 FPU Environment	FLDENV.html
FLDL2E	none	8086,FPU	FLDL2E 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FLDL2T	none	8086,FPU	FLDL2T 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FLDLG2	none	8086,FPU	FLDLG2 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FLDLN2	none	8086,FPU	FLDLN2 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FLDPI	none	8086,FPU	FLDPI 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FLDZ	none	8086,FPU	FLDZ 	Load Constant	FLD1:FLDL2T:FLDL2E:FLDPI:FLDLG2:FLDLN2:FLDZ.html
FMUL	mem32	8086,FPU	FMUL mem32	Multiply	FMUL:FMULP:FIMUL.html
FMUL	mem64	8086,FPU	FMUL mem64	Multiply	FMUL:FMULP:FIMUL.html
FMUL	fpureg|to	8086,FPU	FMUL fpureg|to	Multiply	FMUL:FMULP:FIMUL.html
FMUL	fpureg,fpu0	8086,FPU	FMUL fpureg, FPU0	Multiply	FMUL:FMULP:FIMUL.html
FMUL	fpureg	8086,FPU	FMUL fpureg	Multiply	FMUL:FMULP:FIMUL.html
FMUL	fpu0,fpureg	8086,FPU	FMUL FPU0, fpureg	Multiply	FMUL:FMULP:FIMUL.html
FMUL	none	8086,FPU,ND	FMUL 	Multiply	FMUL:FMULP:FIMUL.html
FMULP	fpureg	8086,FPU	FMULP fpureg	Multiply	FMUL:FMULP:FIMUL.html
FMULP	fpureg,fpu0	8086,FPU	FMULP fpureg, FPU0	Multiply	FMUL:FMULP:FIMUL.html
FMULP	none	8086,FPU,ND	FMULP 	Multiply	FMUL:FMULP:FIMUL.html
FNCLEX	none	8086,FPU	FNCLEX 	Clear Exceptions	FCLEX:FNCLEX.html
FNDISI	none	8086,FPU	FNDISI 	TODO: 8086,FPU	
FNENI	none	8086,FPU	FNENI 	TODO: 8086,FPU	
FNINIT	none	8086,FPU	FNINIT 	Initialize Floating-Point Unit	FINIT:FNINIT.html
FNOP	none	8086,FPU	FNOP 	No Operation	FNOP.html
FNSAVE	mem	8086,FPU	FNSAVE mem	Store x87 FPU State	FSAVE:FNSAVE.html
FNSTCW	mem	8086,FPU,SW	FNSTCW mem	Store x87 FPU Control Word	FSTCW:FNSTCW.html
FNSTENV	mem	8086,FPU	FNSTENV mem	Store x87 FPU Environment	FSTENV:FNSTENV.html
FNSTSW	mem	8086,FPU,SW	FNSTSW mem	Store x87 FPU Status Word	FSTSW:FNSTSW.html
FNSTSW	reg_ax	286,FPU	FNSTSW AX	Store x87 FPU Status Word	FSTSW:FNSTSW.html
FPATAN	none	8086,FPU	FPATAN 	Partial Arctangent	FPATAN.html
FPREM	none	8086,FPU	FPREM 	Partial Remainder	FPREM.html
FPREM1	none	386,FPU	FPREM1 	Partial Remainder	FPREM1.html
FPTAN	none	8086,FPU	FPTAN 	Partial Tangent	FPTAN.html
FRNDINT	none	8086,FPU	FRNDINT 	Round to Integer	FRNDINT.html
FRSTOR	mem	8086,FPU	FRSTOR mem	Restore x87 FPU State	FRSTOR.html
FSAVE	mem	8086,FPU	FSAVE mem	Store x87 FPU State	FSAVE:FNSAVE.html
FSCALE	none	8086,FPU	FSCALE 	Scale	FSCALE.html
FSETPM	none	286,FPU	FSETPM 	TODO: 286,FPU	
FSIN	none	386,FPU	FSIN 	Sine	FSIN.html
FSINCOS	none	386,FPU	FSINCOS 	Sine and Cosine	FSINCOS.html
FSQRT	none	8086,FPU	FSQRT 	Square Root	FSQRT.html
FST	mem32	8086,FPU	FST mem32	Store Floating Point Value	FST:FSTP.html
FST	mem64	8086,FPU	FST mem64	Store Floating Point Value	FST:FSTP.html
FST	fpureg	8086,FPU	FST fpureg	Store Floating Point Value	FST:FSTP.html
FST	none	8086,FPU,ND	FST 	Store Floating Point Value	FST:FSTP.html
FSTCW	mem	8086,FPU,SW	FSTCW mem	Store x87 FPU Control Word	FSTCW:FNSTCW.html
FSTENV	mem	8086,FPU	FSTENV mem	Store x87 FPU Environment	FSTENV:FNSTENV.html
FSTP	mem32	8086,FPU	FSTP mem32	Store Floating Point Value	FST:FSTP.html
FSTP	mem64	8086,FPU	FSTP mem64	Store Floating Point Value	FST:FSTP.html
FSTP	mem80	8086,FPU	FSTP mem80	Store Floating Point Value	FST:FSTP.html
FSTP	fpureg	8086,FPU	FSTP fpureg	Store Floating Point Value	FST:FSTP.html
FSTP	none	8086,FPU,ND	FSTP 	Store Floating Point Value	FST:FSTP.html
FSTSW	mem	8086,FPU,SW	FSTSW mem	Store x87 FPU Status Word	FSTSW:FNSTSW.html
FSTSW	reg_ax	286,FPU	FSTSW AX	Store x87 FPU Status Word	FSTSW:FNSTSW.html
FSUB	mem32	8086,FPU	FSUB mem32	Subtract	FSUB:FSUBP:FISUB.html
FSUB	mem64	8086,FPU	FSUB mem64	Subtract	FSUB:FSUBP:FISUB.html
FSUB	fpureg|to	8086,FPU	FSUB fpureg|to	Subtract	FSUB:FSUBP:FISUB.html
FSUB	fpureg,fpu0	8086,FPU	FSUB fpureg, FPU0	Subtract	FSUB:FSUBP:FISUB.html
FSUB	fpureg	8086,FPU	FSUB fpureg	Subtract	FSUB:FSUBP:FISUB.html
FSUB	fpu0,fpureg	8086,FPU	FSUB FPU0, fpureg	Subtract	FSUB:FSUBP:FISUB.html
FSUB	none	8086,FPU,ND	FSUB 	Subtract	FSUB:FSUBP:FISUB.html
FSUBP	fpureg	8086,FPU	FSUBP fpureg	Subtract	FSUB:FSUBP:FISUB.html
FSUBP	fpureg,fpu0	8086,FPU	FSUBP fpureg, FPU0	Subtract	FSUB:FSUBP:FISUB.html
FSUBP	none	8086,FPU,ND	FSUBP 	Subtract	FSUB:FSUBP:FISUB.html
FSUBR	mem32	8086,FPU	FSUBR mem32	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBR	mem64	8086,FPU	FSUBR mem64	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBR	fpureg|to	8086,FPU	FSUBR fpureg|to	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBR	fpureg,fpu0	8086,FPU	FSUBR fpureg, FPU0	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBR	fpureg	8086,FPU	FSUBR fpureg	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBR	fpu0,fpureg	8086,FPU	FSUBR FPU0, fpureg	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBR	none	8086,FPU,ND	FSUBR 	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBRP	fpureg	8086,FPU	FSUBRP fpureg	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBRP	fpureg,fpu0	8086,FPU	FSUBRP fpureg, FPU0	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FSUBRP	none	8086,FPU,ND	FSUBRP 	Reverse Subtract	FSUBR:FSUBRP:FISUBR.html
FTST	none	8086,FPU	FTST 	TEST	FTST.html
FUCOM	fpureg	386,FPU	FUCOM fpureg	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FUCOM	fpu0,fpureg	386,FPU	FUCOM FPU0, fpureg	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FUCOM	none	386,FPU,ND	FUCOM 	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FUCOMI	fpureg	P6,FPU	FUCOMI fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FUCOMI	fpu0,fpureg	P6,FPU	FUCOMI FPU0, fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FUCOMI	none	P6,FPU,ND	FUCOMI 	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FUCOMIP	fpureg	P6,FPU	FUCOMIP fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FUCOMIP	fpu0,fpureg	P6,FPU	FUCOMIP FPU0, fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FUCOMIP	none	P6,FPU,ND	FUCOMIP 	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FUCOMP	fpureg	386,FPU	FUCOMP fpureg	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FUCOMP	fpu0,fpureg	386,FPU	FUCOMP FPU0, fpureg	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FUCOMP	none	386,FPU,ND	FUCOMP 	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FUCOMPP	none	386,FPU	FUCOMPP 	Unordered Compare Floating Point Values	FUCOM:FUCOMP:FUCOMPP.html
FXAM	none	8086,FPU	FXAM 	Examine ModR/M	FXAM.html
FXCH	fpureg	8086,FPU	FXCH fpureg	Exchange Register Contents	FXCH.html
FXCH	fpureg,fpu0	8086,FPU	FXCH fpureg, FPU0	Exchange Register Contents	FXCH.html
FXCH	fpu0,fpureg	8086,FPU	FXCH FPU0, fpureg	Exchange Register Contents	FXCH.html
FXCH	none	8086,FPU,ND	FXCH 	Exchange Register Contents	FXCH.html
FXTRACT	none	8086,FPU	FXTRACT 	Extract Exponent and Significand	FXTRACT.html
FYL2X	none	8086,FPU	FYL2X 	Compute y * log2x	FYL2X.html
FYL2XP1	none	8086,FPU	FYL2XP1 	Compute y * log2(x +1)	FYL2XP1.html
HLT	none	8086,PRIV	HLT 	Halt	HLT.html
IBTS	mem,reg16	386,SW,UNDOC,ND	IBTS mem, r16	TODO: 386,SW,UNDOC,ND,SD	
IBTS	reg16,reg16	386,UNDOC,ND	IBTS r16, r16	TODO: 386,SW,UNDOC,ND,SD	
IBTS	mem,reg32	386,SD,UNDOC,ND	IBTS mem, r32	TODO: 386,SW,UNDOC,ND,SD	
IBTS	reg32,reg32	386,UNDOC,ND	IBTS r32, r32	TODO: 386,SW,UNDOC,ND,SD	
ICEBP	none	386,ND	ICEBP 	TODO: 386,ND	
IDIV	rm8	8086	IDIV r/m8	Signed Divide	IDIV.html
IDIV	rm16	8086	IDIV r/m16	Signed Divide	IDIV.html
IDIV	rm32	386	IDIV r/m32	Signed Divide	IDIV.html
IDIV	rm64	X64	IDIV r/m64	Signed Divide	IDIV.html
IMUL	rm8	8086	IMUL r/m8	Signed Multiply	IMUL.html
IMUL	rm16	8086	IMUL r/m16	Signed Multiply	IMUL.html
IMUL	rm32	386	IMUL r/m32	Signed Multiply	IMUL.html
IMUL	rm64	X64	IMUL r/m64	Signed Multiply	IMUL.html
IMUL	reg16,mem	386	IMUL r16, mem	Signed Multiply	IMUL.html
IMUL	reg16,reg16	386	IMUL r16, r16	Signed Multiply	IMUL.html
IMUL	reg32,mem	386	IMUL r32, mem	Signed Multiply	IMUL.html
IMUL	reg32,reg32	386	IMUL r32, r32	Signed Multiply	IMUL.html
IMUL	reg64,mem	X64	IMUL r64, mem	Signed Multiply	IMUL.html
IMUL	reg64,reg64	X64	IMUL r64, r64	Signed Multiply	IMUL.html
IMUL	reg16,mem,imm8	186	IMUL r16, mem, imm8	Signed Multiply	IMUL.html
IMUL	reg16,mem,imm16	186	IMUL r16, mem, imm16	Signed Multiply	IMUL.html
IMUL	reg16,mem,imm	186,ND	IMUL r16, mem, imm	Signed Multiply	IMUL.html
IMUL	reg16,reg16,imm8	186	IMUL r16, r16, imm8	Signed Multiply	IMUL.html
IMUL	reg16,reg16,imm16	186	IMUL r16, r16, imm16	Signed Multiply	IMUL.html
IMUL	reg16,reg16,imm	186,ND	IMUL r16, r16, imm	Signed Multiply	IMUL.html
IMUL	reg32,mem,imm8	386	IMUL r32, mem, imm8	Signed Multiply	IMUL.html
IMUL	reg32,mem,imm32	386	IMUL r32, mem, imm32	Signed Multiply	IMUL.html
IMUL	reg32,mem,imm	386,ND	IMUL r32, mem, imm	Signed Multiply	IMUL.html
IMUL	reg32,reg32,imm8	386	IMUL r32, r32, imm8	Signed Multiply	IMUL.html
IMUL	reg32,reg32,imm32	386	IMUL r32, r32, imm32	Signed Multiply	IMUL.html
IMUL	reg32,reg32,imm	386,ND	IMUL r32, r32, imm	Signed Multiply	IMUL.html
IMUL	reg64,mem,imm8	X64	IMUL r64, mem, imm8	Signed Multiply	IMUL.html
IMUL	reg64,mem,imm32	X64	IMUL r64, mem, imm32	Signed Multiply	IMUL.html
IMUL	reg64,mem,imm	X64,ND	IMUL r64, mem, imm	Signed Multiply	IMUL.html
IMUL	reg64,reg64,imm8	X64	IMUL r64, r64, imm8	Signed Multiply	IMUL.html
IMUL	reg64,reg64,imm32	X64	IMUL r64, r64, imm32	Signed Multiply	IMUL.html
IMUL	reg64,reg64,imm	X64,ND	IMUL r64, r64, imm	Signed Multiply	IMUL.html
IMUL	reg16,imm8	186	IMUL r16, imm8	Signed Multiply	IMUL.html
IMUL	reg16,imm16	186	IMUL r16, imm16	Signed Multiply	IMUL.html
IMUL	reg16,imm	186,ND	IMUL r16, imm	Signed Multiply	IMUL.html
IMUL	reg32,imm8	386	IMUL r32, imm8	Signed Multiply	IMUL.html
IMUL	reg32,imm32	386	IMUL r32, imm32	Signed Multiply	IMUL.html
IMUL	reg32,imm	386,ND	IMUL r32, imm	Signed Multiply	IMUL.html
IMUL	reg64,imm8	X64	IMUL r64, imm8	Signed Multiply	IMUL.html
IMUL	reg64,imm32	X64	IMUL r64, imm32	Signed Multiply	IMUL.html
IMUL	reg64,imm	X64,ND	IMUL r64, imm	Signed Multiply	IMUL.html
IN	reg_al,imm	8086	IN AL, imm	Input from Port	IN.html
IN	reg_ax,imm	8086	IN AX, imm	Input from Port	IN.html
IN	reg_eax,imm	386	IN EAX, imm	Input from Port	IN.html
IN	reg_al,reg_dx	8086	IN AL, DX	Input from Port	IN.html
IN	reg_ax,reg_dx	8086	IN AX, DX	Input from Port	IN.html
IN	reg_eax,reg_dx	386	IN EAX, DX	Input from Port	IN.html
INC	reg16	8086,NOLONG	INC r16	Increment by 1	INC.html
INC	reg32	386,NOLONG	INC r32	Increment by 1	INC.html
INC	rm8	8086,LOCK	INC r/m8	Increment by 1	INC.html
INC	rm16	8086,LOCK	INC r/m16	Increment by 1	INC.html
INC	rm32	386,LOCK	INC r/m32	Increment by 1	INC.html
INC	rm64	X64,LOCK	INC r/m64	Increment by 1	INC.html
INSB	none	186	INSB 	Input from Port to String	INS:INSB:INSW:INSD.html
INSD	none	386	INSD 	Input from Port to String	INS:INSB:INSW:INSD.html
INSW	none	186	INSW 	Input from Port to String	INS:INSB:INSW:INSD.html
INT	imm	8086	INT imm	Call to Interrupt Procedure	INT n:INTO:INT 3.html
INTO	none	8086,NOLONG	INTO 	Call to Interrupt Procedure	INT n:INTO:INT 3.html
INVD	none	486,PRIV	INVD 	Invalidate Internal Caches	INVD.html
INVPCID	reg32,mem128	FUTURE,INVPCID,PRIV,NOLONG	INVPCID r32, mem128	Invalidate Process-Context Identifier	INVPCID.html
INVPCID	reg64,mem128	FUTURE,INVPCID,PRIV,LONG	INVPCID r64, mem128	Invalidate Process-Context Identifier	INVPCID.html
INVLPG	mem	486,PRIV	INVLPG mem	Invalidate TLB Entries	INVLPG.html
INVLPGA	reg_ax,reg_ecx	X86_64,AMD,NOLONG	INVLPGA AX, ECX	TODO: X86_64,AMD,NOLONG,X64	
INVLPGA	reg_eax,reg_ecx	X86_64,AMD	INVLPGA EAX, ECX	TODO: X86_64,AMD,NOLONG,X64	
INVLPGA	reg_rax,reg_ecx	X64,AMD	INVLPGA RAX, ECX	TODO: X86_64,AMD,NOLONG,X64	
INVLPGA	none	X86_64,AMD	INVLPGA 	TODO: X86_64,AMD,NOLONG,X64	
IRET	none	8086	IRET 	Interrupt Return	IRET:IRETD.html
IRETD	none	386	IRETD 	Interrupt Return	IRET:IRETD.html
IRETQ	none	X64	IRETQ 	TODO: X64	
IRETW	none	8086	IRETW 	TODO: 8086	
JCXZ	imm	8086,NOLONG	JCXZ imm	Jump if CX register is 0	Jcc.html
JECXZ	imm	386	JECXZ imm	Jump if ECX register is 0	Jcc.html
JRCXZ	imm	X64	JRCXZ imm	Jump if RCX register is 0	Jcc.html
JMP	imm|short	8086	JMP imm|short	Unconditional Jump	Jcc.html
JMP	imm	8086,ND	JMP imm	Unconditional Jump	Jcc.html
JMP	imm	8086,BND	JMP imm	Unconditional Jump	Jcc.html
JMP	imm|near	8086,ND,BND	JMP imm|near	Unconditional Jump	Jcc.html
JMP	imm|far	8086,ND,NOLONG	JMP imm|far	Unconditional Jump	Jcc.html
JMP	imm16	8086,NOLONG,BND	JMP imm16	Unconditional Jump	Jcc.html
JMP	imm16|near	8086,ND,NOLONG,BND	JMP imm16|near	Unconditional Jump	Jcc.html
JMP	imm16|far	8086,ND,NOLONG	JMP imm16|far	Unconditional Jump	Jcc.html
JMP	imm32	386,NOLONG,BND	JMP imm32	Unconditional Jump	Jcc.html
JMP	imm32|near	386,ND,NOLONG,BND	JMP imm32|near	Unconditional Jump	Jcc.html
JMP	imm32|far	386,ND,NOLONG	JMP imm32|far	Unconditional Jump	Jcc.html
JMP	imm64	X64,BND	JMP imm64	Unconditional Jump	Jcc.html
JMP	imm64|near	X64,ND,BND	JMP imm64|near	Unconditional Jump	Jcc.html
JMP	imm:imm	8086,NOLONG	JMP imm:imm	Unconditional Jump	Jcc.html
JMP	imm16:imm	8086,NOLONG	JMP imm16:imm	Unconditional Jump	Jcc.html
JMP	imm:imm16	8086,NOLONG	JMP imm:imm16	Unconditional Jump	Jcc.html
JMP	imm32:imm	386,NOLONG	JMP imm32:imm	Unconditional Jump	Jcc.html
JMP	imm:imm32	386,NOLONG	JMP imm:imm32	Unconditional Jump	Jcc.html
JMP	mem|far	8086,NOLONG	JMP mem|far	Unconditional Jump	Jcc.html
JMP	mem|far	X64	JMP mem|far	Unconditional Jump	Jcc.html
JMP	mem16|far	8086	JMP mem16|far	Unconditional Jump	Jcc.html
JMP	mem32|far	386	JMP mem32|far	Unconditional Jump	Jcc.html
JMP	mem64|far	X64	JMP mem64|far	Unconditional Jump	Jcc.html
JMP	mem|near	8086,ND,BND	JMP mem|near	Unconditional Jump	Jcc.html
JMP	rm16|near	8086,NOLONG,ND,BND	JMP r/m16|near	Unconditional Jump	Jcc.html
JMP	rm32|near	386,NOLONG,ND,BND	JMP r/m32|near	Unconditional Jump	Jcc.html
JMP	rm64|near	X64,ND,BND	JMP r/m64|near	Unconditional Jump	Jcc.html
JMP	mem	8086,BND	JMP mem	Unconditional Jump	Jcc.html
JMP	rm16	8086,NOLONG,BND	JMP r/m16	Unconditional Jump	Jcc.html
JMP	rm32	386,NOLONG,BND	JMP r/m32	Unconditional Jump	Jcc.html
JMP	rm64	X64,BND	JMP r/m64	Unconditional Jump	Jcc.html
JMPE	imm	IA64	JMPE imm	TODO: IA64	
JMPE	imm16	IA64	JMPE imm16	TODO: IA64	
JMPE	imm32	IA64	JMPE imm32	TODO: IA64	
JMPE	rm16	IA64	JMPE r/m16	TODO: IA64	
JMPE	rm32	IA64	JMPE r/m32	TODO: IA64	
LAHF	none	8086	LAHF 	Load Status Flags into AH Register	LAHF.html
LAR	reg16,mem	286,PROT,SW	LAR r16, mem	Load Access Rights Byte	LAR.html
LAR	reg16,reg16	286,PROT	LAR r16, r16	Load Access Rights Byte	LAR.html
LAR	reg16,reg32	386,PROT	LAR r16, r32	Load Access Rights Byte	LAR.html
LAR	reg16,reg64	X64,PROT,ND	LAR r16, r64	Load Access Rights Byte	LAR.html
LAR	reg32,mem	386,PROT,SW	LAR r32, mem	Load Access Rights Byte	LAR.html
LAR	reg32,reg16	386,PROT	LAR r32, r16	Load Access Rights Byte	LAR.html
LAR	reg32,reg32	386,PROT	LAR r32, r32	Load Access Rights Byte	LAR.html
LAR	reg32,reg64	X64,PROT,ND	LAR r32, r64	Load Access Rights Byte	LAR.html
